FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_INDEX,DEST_INDEX,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE
2024-08-16 00:00:00,UA,2254.0,PDX,DEN,2024-08-16 16:07:00,2024-08-16 16:03:00,-4.0,10.0,2024-08-16 16:13:00,2024-08-16 19:09:00,6.0,2024-08-16 19:48:00,2024-08-16 19:15:00,-33.0,161.0,132.0,116.0,1.0,8,16,5,236,85,20.0,0.0,11.2,31.7,0.0,7.6,45.58872,-122.5975,39.85841,-104.667
2024-09-24 00:00:00,WN,790.0,SAT,BWI,2024-09-24 14:50:00,2024-09-24 14:48:00,-2.0,12.0,2024-09-24 15:00:00,2024-09-24 19:05:00,3.0,2024-09-24 19:10:00,2024-09-24 19:08:00,-2.0,200.0,200.0,185.0,1.0,9,24,2,269,51,28.9,0.0,5.4,20.0,0.0,13.0,29.53369,-98.46978,39.1754,-76.6682
2024-07-15 00:00:00,YX,5829.0,BOS,EWR,2024-07-15 12:35:00,2024-07-15 12:23:00,-12.0,100.0,2024-07-15 14:03:00,2024-07-15 15:01:00,6.0,2024-07-15 14:01:00,2024-07-15 15:07:00,66.0,86.0,164.0,58.0,1.0,7,15,1,39,106,27.8,0.0,16.6,28.9,0.0,6.1,42.36435,-71.00518,40.6925,-74.16866
2024-07-13 00:00:00,9E,4821.0,MEM,MSP,2024-07-13 13:46:00,2024-07-13 13:38:00,-8.0,17.0,2024-07-13 13:55:00,2024-07-13 15:40:00,11.0,2024-07-13 16:00:00,2024-07-13 15:51:00,-9.0,134.0,133.0,105.0,1.0,7,13,6,197,216,31.7,0.0,9.4,25.0,0.0,7.6,35.04242,-89.97667,44.88055,-93.21692
2024-10-11 00:00:00,UA,2426.0,SFO,RDU,2024-10-11 08:55:00,2024-10-11 08:49:00,-6.0,36.0,2024-10-11 09:25:00,2024-10-11 17:02:00,5.0,2024-10-11 17:05:00,2024-10-11 17:07:00,2.0,310.0,318.0,277.0,1.0,10,11,5,278,257,11.7,0.0,18.4,20.0,0.0,0.0,37.619,-122.37484,35.87764,-78.78747
2024-10-18 00:00:00,AA,1525.0,DFW,ELP,2024-10-18 21:05:00,2024-10-18 22:48:00,103.0,19.0,2024-10-18 23:07:00,2024-10-18 23:24:00,4.0,2024-10-18 22:00:00,2024-10-18 23:28:00,88.0,115.0,100.0,77.0,1.0,10,18,5,86,100,25.0,0.0,14.8,28.3,0.0,33.5,32.89595,-97.0372,31.80667,-106.37781
2024-09-20 00:00:00,WN,1936.0,MDW,GRR,2024-09-20 20:00:00,2024-09-20 19:59:00,-1.0,11.0,2024-09-20 20:10:00,2024-09-20 21:39:00,4.0,2024-09-20 21:55:00,2024-09-20 21:43:00,-12.0,55.0,44.0,29.0,1.0,9,20,5,195,130,33.3,0.0,16.6,24.4,0.0,18.4,41.78598,-87.75242,42.88082,-85.52277
2024-04-13 00:00:00,OO,5907.0,DEN,EGE,2024-04-13 13:38:00,2024-04-13 13:34:00,-4.0,22.0,2024-04-13 13:56:00,2024-04-13 14:21:00,4.0,2024-04-13 14:34:00,2024-04-13 14:25:00,-9.0,56.0,51.0,25.0,1.0,4,13,6,85,97,16.1,0.0,16.6,8.9,0.0,0.0,39.85841,-104.667,39.64257,-106.9177
2024-02-02 00:00:00,OH,5161.0,CLT,VPS,2024-02-02 20:25:00,2024-02-02 20:18:00,-7.0,28.0,2024-02-02 20:46:00,2024-02-02 20:56:00,10.0,2024-02-02 21:22:00,2024-02-02 21:06:00,-16.0,117.0,108.0,70.0,1.0,2,2,5,66,316,20.6,0.0,11.2,17.7,0.0,9.4,35.21401,-80.94313,30.48325,-86.5254
2024-04-21 00:00:00,WN,2187.0,BUR,SJC,2024-04-21 10:50:00,2024-04-21 10:49:00,-1.0,16.0,2024-04-21 11:05:00,2024-04-21 11:47:00,2.0,2024-04-21 12:00:00,2024-04-21 11:49:00,-11.0,70.0,60.0,42.0,1.0,4,21,7,50,283,12.2,0.0,0.0,11.1,0.0,5.4,34.20062,-118.3585,37.36186,-121.92901
2024-02-12 00:00:00,NK,3952.0,MIA,BOS,2024-02-12 11:44:00,2024-02-12 12:04:00,20.0,20.0,2024-02-12 12:24:00,2024-02-12 14:53:00,7.0,2024-02-12 15:06:00,2024-02-12 15:00:00,-6.0,202.0,176.0,149.0,1.0,2,12,1,203,39,22.2,0.0,14.8,6.1,0.0,5.4,25.79325,-80.29056,42.36435,-71.00518
2024-07-15 00:00:00,WN,2224.0,OAK,LAX,2024-07-15 12:55:00,2024-07-15 12:52:00,-3.0,12.0,2024-07-15 13:04:00,2024-07-15 13:59:00,6.0,2024-07-15 14:20:00,2024-07-15 14:05:00,-15.0,85.0,73.0,55.0,1.0,7,15,1,222,176,15.6,0.0,16.6,18.3,0.0,9.4,37.72129,-122.22072,33.94254,-118.40807
2024-12-02 00:00:00,B6,354.0,SJU,FLL,2024-12-02 10:30:00,2024-12-02 10:29:00,-1.0,12.0,2024-12-02 10:41:00,2024-12-02 12:06:00,6.0,2024-12-02 12:19:00,2024-12-02 12:12:00,-7.0,169.0,163.0,145.0,1.0,12,2,1,285,114,26.1,0.0,0.0,13.9,0.0,20.5,18.43942,-66.00183,26.07258,-80.15275
2024-11-17 00:00:00,AS,227.0,SFO,EWR,2024-11-17 06:20:00,2024-11-17 06:22:00,2.0,38.0,2024-11-17 07:00:00,2024-11-17 14:41:00,9.0,2024-11-17 14:55:00,2024-11-17 14:50:00,-5.0,335.0,328.0,281.0,1.0,11,17,7,278,106,10.6,0.0,13.0,12.0,0.0,7.6,37.619,-122.37484,40.6925,-74.16866
2024-08-21 00:00:00,WN,4661.0,MKE,MCI,2024-08-21 09:30:00,2024-08-21 09:25:00,-5.0,12.0,2024-08-21 09:37:00,2024-08-21 10:46:00,3.0,2024-08-21 10:55:00,2024-08-21 10:49:00,-6.0,85.0,84.0,69.0,1.0,8,21,3,204,192,13.3,0.0,7.6,17.2,0.0,9.4,42.94722,-87.89658,39.29761,-94.71391
2024-07-03 00:00:00,UA,1827.0,SAN,EWR,2024-07-03 22:10:00,2024-07-03 22:01:00,-9.0,19.0,2024-07-03 22:20:00,2024-07-03 06:08:00,10.0,2024-07-03 06:28:00,2024-07-03 06:18:00,-10.0,318.0,317.0,288.0,1.0,7,3,3,268,106,24.4,0.0,11.2,20.5,0.0,0.0,32.73356,-117.18966,40.6925,-74.16866
2024-11-23 00:00:00,DL,2588.0,DTW,LAS,2024-11-23 07:05:00,2024-11-23 06:59:00,-6.0,13.0,2024-11-23 07:12:00,2024-11-23 08:08:00,7.0,2024-11-23 08:32:00,2024-11-23 08:15:00,-17.0,267.0,256.0,236.0,1.0,11,23,6,93,174,6.1,0.0,22.3,7.2,0.0,7.6,42.21206,-83.34884,36.08036,-115.15233
2024-04-14 00:00:00,WN,5052.0,CMH,LAS,2024-04-14 06:20:00,2024-04-14 06:18:00,-2.0,9.0,2024-04-14 06:27:00,2024-04-14 07:24:00,8.0,2024-04-14 07:45:00,2024-04-14 07:32:00,-13.0,265.0,254.0,237.0,1.0,4,14,7,67,174,7.8,0.0,7.6,13.3,0.0,24.1,39.99799,-82.89188,36.08036,-115.15233
2024-04-15 00:00:00,UA,286.0,DEN,IAD,2024-04-15 09:57:00,2024-04-15 09:59:00,2.0,23.0,2024-04-15 10:22:00,2024-04-15 15:19:00,9.0,2024-04-15 15:15:00,2024-04-15 15:28:00,13.0,198.0,209.0,177.0,1.0,4,15,1,85,149,6.7,0.0,16.6,26.7,0.0,0.0,39.85841,-104.667,38.94453,-77.45581
2024-04-23 00:00:00,AA,550.0,ORD,DFW,2024-04-23 18:45:00,2024-04-23 18:44:00,-1.0,23.0,2024-04-23 19:07:00,2024-04-23 20:58:00,19.0,2024-04-23 21:41:00,2024-04-23 21:17:00,-24.0,176.0,153.0,111.0,1.0,4,23,2,228,86,15.6,0.0,22.3,23.9,0.0,27.7,41.9796,-87.90446,32.89595,-97.0372
2024-07-09 00:00:00,WN,5038.0,MDW,MCI,2024-07-09 11:20:00,2024-07-09 11:12:00,-8.0,13.0,2024-07-09 11:25:00,2024-07-09 12:28:00,10.0,2024-07-09 12:45:00,2024-07-09 12:38:00,-7.0,85.0,86.0,63.0,1.0,7,9,2,195,192,23.3,0.0,0.0,21.1,0.0,11.2,41.78598,-87.75242,39.29761,-94.71391
2024-09-12 00:00:00,OO,5480.0,MAF,DEN,2024-09-12 09:10:00,2024-09-12 09:00:00,-10.0,21.0,2024-09-12 09:21:00,2024-09-12 09:52:00,13.0,2024-09-12 10:10:00,2024-09-12 10:05:00,-5.0,120.0,125.0,91.0,1.0,9,12,4,190,85,18.3,0.0,13.0,13.9,0.0,18.4,31.94253,-102.20191,39.85841,-104.667
2024-01-21 00:00:00,AA,1090.0,ORF,CLT,2024-01-21 05:01:00,2024-01-21 04:59:00,-2.0,13.0,2024-01-21 05:12:00,2024-01-21 06:04:00,5.0,2024-01-21 06:32:00,2024-01-21 06:09:00,-23.0,91.0,70.0,52.0,1.0,1,21,7,229,66,-4.4,0.0,24.1,-8.3,0.0,5.4,36.89461,-76.20122,35.21401,-80.94313
2024-07-29 00:00:00,DL,1380.0,ATL,PIT,2024-07-29 08:35:00,2024-07-29 08:40:00,5.0,38.0,2024-07-29 09:18:00,2024-07-29 10:29:00,7.0,2024-07-29 10:14:00,2024-07-29 10:36:00,22.0,99.0,116.0,71.0,1.0,7,29,1,20,243,22.8,0.0,5.4,19.4,0.0,0.0,33.64044,-84.42694,40.49147,-80.23287
2024-08-13 00:00:00,OO,4912.0,ABQ,LAX,2024-08-13 12:19:00,2024-08-13 12:11:00,-8.0,20.0,2024-08-13 12:31:00,2024-08-13 13:05:00,7.0,2024-08-13 13:25:00,2024-08-13 13:12:00,-13.0,126.0,121.0,94.0,1.0,8,13,2,2,176,21.1,0.0,11.2,19.4,0.0,0.0,35.04022,-106.60919,33.94254,-118.40807
2024-11-17 00:00:00,HA,208.0,HNL,KOA,2024-11-17 09:30:00,2024-11-17 09:28:00,-2.0,9.0,2024-11-17 09:37:00,2024-11-17 10:07:00,5.0,2024-11-17 10:18:00,2024-11-17 10:12:00,-6.0,48.0,44.0,30.0,1.0,11,17,7,141,170,24.4,0.0,18.4,23.9,0.0,11.2,21.31869,-157.92241,19.73877,-156.04563
2024-07-13 00:00:00,AS,284.0,LAX,EWR,2024-07-13 08:10:00,2024-07-13 08:09:00,-1.0,16.0,2024-07-13 08:25:00,2024-07-13 16:19:00,12.0,2024-07-13 16:49:00,2024-07-13 16:31:00,-18.0,339.0,322.0,294.0,1.0,7,13,6,176,106,18.9,0.0,5.4,27.8,0.1,7.2,33.94254,-118.40807,40.6925,-74.16866
2024-02-23 00:00:00,OO,4038.0,BIL,SLC,2024-02-23 11:45:00,2024-02-23 11:36:00,-9.0,11.0,2024-02-23 11:47:00,2024-02-23 12:50:00,8.0,2024-02-23 13:10:00,2024-02-23 12:58:00,-12.0,85.0,82.0,63.0,1.0,2,23,5,32,286,3.3,0.0,24.1,0.0,0.0,11.2,45.80766,-108.54286,40.78839,-111.97777
2024-06-12 00:00:00,DL,1351.0,ATL,PIT,2024-06-12 22:25:00,2024-06-12 22:20:00,-5.0,11.0,2024-06-12 22:31:00,2024-06-12 23:42:00,9.0,2024-06-12 00:10:00,2024-06-12 23:51:00,-19.0,105.0,91.0,71.0,1.0,6,12,3,20,243,30.6,0.0,7.6,19.4,0.0,7.6,33.64044,-84.42694,40.49147,-80.23287
2024-02-06 00:00:00,DL,383.0,DTW,SEA,2024-02-06 08:25:00,2024-02-06 08:24:00,-1.0,30.0,2024-02-06 08:54:00,2024-02-06 10:19:00,9.0,2024-02-06 10:45:00,2024-02-06 10:28:00,-17.0,320.0,304.0,265.0,1.0,2,6,2,93,277,1.1,0.0,7.6,5.0,0.5,7.6,42.21206,-83.34884,47.44898,-122.30931
2024-06-20 00:00:00,MQ,3739.0,CLT,BHM,2024-06-20 20:47:00,2024-06-20 20:45:00,-2.0,18.0,2024-06-20 21:03:00,2024-06-20 21:00:00,8.0,2024-06-20 21:19:00,2024-06-20 21:08:00,-11.0,92.0,83.0,57.0,1.0,6,20,4,66,31,31.7,0.0,13.0,33.3,0.0,11.2,35.21401,-80.94313,33.56294,-86.75355
2024-08-13 00:00:00,DL,3165.0,SDF,ATL,2024-08-13 15:27:00,2024-08-13 15:24:00,-3.0,14.0,2024-08-13 15:38:00,2024-08-13 16:31:00,10.0,2024-08-13 16:55:00,2024-08-13 16:41:00,-14.0,88.0,77.0,53.0,1.0,8,13,2,276,20,25.0,0.0,0.0,30.6,0.0,14.8,38.17439,-85.736,33.64044,-84.42694
2024-08-18 00:00:00,F9,3242.0,DFW,ORD,2024-08-18 15:19:00,2024-08-18 15:41:00,22.0,17.0,2024-08-18 15:58:00,2024-08-18 17:49:00,16.0,2024-08-18 17:55:00,2024-08-18 18:05:00,10.0,156.0,144.0,111.0,1.0,8,18,7,86,228,34.4,0.0,18.4,23.3,0.3,20.5,32.89595,-97.0372,41.9796,-87.90446
2024-06-22 00:00:00,WN,3908.0,AUS,ELP,2024-06-22 12:20:00,2024-06-22 12:22:00,2.0,9.0,2024-06-22 12:31:00,2024-06-22 12:39:00,4.0,2024-06-22 12:50:00,2024-06-22 12:43:00,-7.0,90.0,81.0,68.0,1.0,6,22,6,22,100,24.4,0.0,0.0,26.1,0.0,13.0,30.19453,-97.66987,31.80667,-106.37781
2024-08-20 00:00:00,9E,5200.0,JFK,CHS,2024-08-20 14:04:00,2024-08-20 14:36:00,32.0,43.0,2024-08-20 15:19:00,2024-08-20 17:13:00,23.0,2024-08-20 16:27:00,2024-08-20 17:36:00,69.0,143.0,180.0,114.0,1.0,8,20,2,166,60,20.6,0.0,22.3,31.1,0.0,7.6,40.63975,-73.77893,32.89865,-80.04051
2024-12-20 00:00:00,DL,929.0,PHX,ATL,2024-12-20 23:59:00,2024-12-20 00:39:00,40.0,16.0,2024-12-20 00:55:00,2024-12-20 05:59:00,7.0,2024-12-20 05:30:00,2024-12-20 06:06:00,36.0,211.0,207.0,184.0,1.0,12,20,5,239,20,24.4,0.0,0.0,3.9,0.0,0.0,33.43417,-112.00806,33.64044,-84.42694
2024-05-02 00:00:00,9E,5134.0,ATL,AEX,2024-05-02 19:52:00,2024-05-02 20:09:00,17.0,15.0,2024-05-02 20:24:00,2024-05-02 20:41:00,3.0,2024-05-02 20:38:00,2024-05-02 20:44:00,6.0,106.0,95.0,77.0,1.0,5,2,4,20,11,28.9,0.0,14.8,23.9,0.0,13.0,33.64044,-84.42694,31.32737,-92.54856
2024-12-03 00:00:00,F9,1691.0,BUF,MCO,2024-12-03 11:40:00,2024-12-03 11:38:00,-2.0,8.0,2024-12-03 11:46:00,2024-12-03 13:52:00,20.0,2024-12-03 14:36:00,2024-12-03 14:12:00,-24.0,176.0,154.0,126.0,1.0,12,3,2,49,193,-1.1,0.0,14.8,13.9,0.0,20.5,42.94052,-78.73217,28.42889,-81.31603
2024-05-16 00:00:00,DL,2633.0,ATL,RDU,2024-05-16 08:35:00,2024-05-16 08:45:00,10.0,14.0,2024-05-16 08:59:00,2024-05-16 09:59:00,7.0,2024-05-16 10:00:00,2024-05-16 10:06:00,6.0,85.0,81.0,60.0,1.0,5,16,4,20,257,15.6,0.0,0.0,18.3,2.0,5.4,33.64044,-84.42694,35.87764,-78.78747
2024-07-01 00:00:00,OO,6248.0,PHX,TUS,2024-07-01 20:21:00,2024-07-01 20:17:00,-4.0,12.0,2024-07-01 20:29:00,2024-07-01 20:59:00,3.0,2024-07-01 21:10:00,2024-07-01 21:02:00,-8.0,49.0,45.0,30.0,1.0,7,1,1,239,307,40.0,0.0,9.4,36.7,0.0,13.0,33.43417,-112.00806,32.11608,-110.94103
2024-07-18 00:00:00,OO,5554.0,IAH,BRO,2024-07-18 20:00:00,2024-07-18 20:46:00,46.0,14.0,2024-07-18 21:00:00,2024-07-18 21:51:00,6.0,2024-07-18 21:20:00,2024-07-18 21:57:00,37.0,80.0,71.0,51.0,1.0,7,18,4,151,44,28.9,0.0,5.4,34.4,0.0,22.3,29.98047,-95.33972,25.90683,-97.42586
2024-11-06 00:00:00,OO,6486.0,DFW,AEX,2024-11-06 16:33:00,2024-11-06 16:25:00,-8.0,20.0,2024-11-06 16:45:00,2024-11-06 17:32:00,3.0,2024-11-06 17:50:00,2024-11-06 17:35:00,-15.0,77.0,70.0,47.0,1.0,11,6,3,86,11,19.4,0.0,13.0,28.3,0.0,11.2,32.89595,-97.0372,31.32737,-92.54856
2024-07-22 00:00:00,YX,4415.0,CLE,DCA,2024-07-22 19:40:00,2024-07-22 19:39:00,-1.0,19.0,2024-07-22 19:58:00,2024-07-22 21:16:00,19.0,2024-07-22 21:07:00,2024-07-22 21:35:00,28.0,87.0,116.0,78.0,1.0,7,22,1,64,84,25.0,0.0,13.0,23.9,0.0,0.0,41.41089,-81.8494,38.85208,-77.03772
2024-06-30 00:00:00,WN,2405.0,ELP,MCO,2024-06-30 12:10:00,2024-06-30 12:06:00,-4.0,9.0,2024-06-30 12:15:00,2024-06-30 17:44:00,14.0,2024-06-30 17:55:00,2024-06-30 17:58:00,3.0,225.0,232.0,209.0,1.0,6,30,7,100,193,26.7,0.0,16.6,28.3,6.6,0.0,31.80667,-106.37781,28.42889,-81.31603
2024-01-19 00:00:00,UA,2445.0,ORD,SAN,2024-01-19 09:15:00,2024-01-19 12:12:00,177.0,31.0,2024-01-19 12:43:00,2024-01-19 14:47:00,4.0,2024-01-19 11:47:00,2024-01-19 14:51:00,184.0,272.0,279.0,244.0,1.0,1,19,5,228,268,-11.7,0.4,24.1,10.6,0.0,0.0,41.9796,-87.90446,32.73356,-117.18966
2024-05-24 00:00:00,UA,2313.0,SFO,RNO,2024-05-24 23:18:00,2024-05-24 23:15:00,-3.0,26.0,2024-05-24 23:41:00,2024-05-24 00:17:00,7.0,2024-05-24 00:30:00,2024-05-24 00:24:00,-6.0,72.0,69.0,36.0,1.0,5,24,5,278,261,15.0,0.0,29.5,20.0,0.0,7.6,37.619,-122.37484,39.49858,-119.76806
2024-11-07 00:00:00,OO,5855.0,BOI,ORD,2024-11-07 12:20:00,2024-11-07 12:17:00,-3.0,13.0,2024-11-07 12:30:00,2024-11-07 16:36:00,19.0,2024-11-07 16:58:00,2024-11-07 16:55:00,-3.0,218.0,218.0,186.0,1.0,11,7,4,38,228,-1.7,0.0,9.4,11.7,0.0,11.2,43.56444,-116.22278,41.9796,-87.90446
2024-12-12 00:00:00,UA,1583.0,ORD,BWI,2024-12-12 17:59:00,2024-12-12 18:01:00,2.0,17.0,2024-12-12 18:18:00,2024-12-12 20:36:00,5.0,2024-12-12 20:53:00,2024-12-12 20:41:00,-12.0,114.0,100.0,78.0,1.0,12,12,4,228,51,-11.1,0.0,14.8,6.1,0.0,22.3,41.9796,-87.90446,39.1754,-76.6682
2024-05-24 00:00:00,WN,4463.0,DEN,SMF,2024-05-24 13:35:00,2024-05-24 13:56:00,21.0,13.0,2024-05-24 14:09:00,2024-05-24 15:21:00,3.0,2024-05-24 15:10:00,2024-05-24 15:24:00,14.0,155.0,148.0,132.0,1.0,5,24,5,85,287,11.1,0.0,14.8,16.1,0.0,20.5,39.85841,-104.667,38.69542,-121.59077
2024-07-08 00:00:00,WN,3664.0,SJC,SLC,2024-07-08 16:25:00,2024-07-08 16:37:00,12.0,18.0,2024-07-08 16:55:00,2024-07-08 19:24:00,6.0,2024-07-08 19:10:00,2024-07-08 19:30:00,20.0,105.0,113.0,89.0,1.0,7,8,1,283,286,23.9,0.0,0.0,31.1,0.0,5.4,37.36186,-121.92901,40.78839,-111.97777
2024-05-08 00:00:00,YX,3442.0,BUF,EWR,2024-05-08 17:47:00,2024-05-08 18:12:00,25.0,23.0,2024-05-08 18:35:00,2024-05-08 19:22:00,17.0,2024-05-08 19:20:00,2024-05-08 19:39:00,19.0,93.0,87.0,47.0,1.0,5,8,3,49,106,18.3,0.0,31.7,29.8,0.0,14.8,42.94052,-78.73217,40.6925,-74.16866
2024-01-01 00:00:00,WN,3125.0,STL,PIT,2024-01-01 11:40:00,2024-01-01 11:31:00,-9.0,11.0,2024-01-01 11:42:00,2024-01-01 14:04:00,4.0,2024-01-01 14:10:00,2024-01-01 14:08:00,-2.0,90.0,97.0,82.0,1.0,1,1,1,294,243,0.6,0.0,14.8,0.0,0.7,9.4,38.74769,-90.35999,40.49147,-80.23287
2024-07-25 00:00:00,DL,1703.0,ATL,SAV,2024-07-25 21:35:00,2024-07-25 21:48:00,13.0,15.0,2024-07-25 22:03:00,2024-07-25 22:45:00,20.0,2024-07-25 22:38:00,2024-07-25 23:05:00,27.0,63.0,77.0,42.0,1.0,7,25,4,20,270,26.7,0.5,11.2,24.8,0.5,14.8,33.64044,-84.42694,32.12758,-81.20214
2024-09-26 00:00:00,OO,4847.0,DFW,AMA,2024-09-26 18:29:00,2024-09-26 18:25:00,-4.0,21.0,2024-09-26 18:46:00,2024-09-26 19:38:00,6.0,2024-09-26 19:52:00,2024-09-26 19:44:00,-8.0,83.0,79.0,52.0,1.0,9,26,4,86,16,27.8,0.0,20.5,31.1,0.0,20.5,32.89595,-97.0372,35.21937,-101.70593
2024-05-22 00:00:00,DL,2110.0,SEA,SAN,2024-05-22 19:30:00,2024-05-22 19:27:00,-3.0,12.0,2024-05-22 19:39:00,2024-05-22 21:53:00,8.0,2024-05-22 22:21:00,2024-05-22 22:01:00,-20.0,171.0,154.0,134.0,1.0,5,22,3,277,268,13.9,0.0,11.2,18.9,0.0,13.0,47.44898,-122.30931,32.73356,-117.18966
2024-12-02 00:00:00,AA,3091.0,CLT,LGA,2024-12-02 09:11:00,2024-12-02 20:02:00,651.0,22.0,2024-12-02 20:24:00,2024-12-02 21:46:00,5.0,2024-12-02 11:00:00,2024-12-02 21:51:00,651.0,109.0,109.0,82.0,1.0,12,2,1,66,182,-1.7,0.0,5.4,-1.1,0.0,0.0,35.21401,-80.94313,40.77724,-73.87261
2024-11-12 00:00:00,NK,227.0,ATL,FLL,2024-11-12 19:46:00,2024-11-12 19:36:00,-10.0,10.0,2024-11-12 19:46:00,2024-11-12 21:08:00,6.0,2024-11-12 21:41:00,2024-11-12 21:14:00,-27.0,115.0,98.0,82.0,1.0,11,12,2,20,114,25.0,0.0,5.4,26.7,0.0,18.4,33.64044,-84.42694,26.07258,-80.15275
2024-12-15 00:00:00,WN,3875.0,SJC,SAN,2024-12-15 15:30:00,2024-12-15 15:46:00,16.0,8.0,2024-12-15 15:54:00,2024-12-15 16:54:00,3.0,2024-12-15 16:55:00,2024-12-15 16:57:00,2.0,85.0,71.0,60.0,1.0,12,15,7,283,268,7.8,0.0,5.4,16.7,0.0,0.0,37.36186,-121.92901,32.73356,-117.18966
